Time,Speed_Compact_Winter_Test1,Speed_Compact_Winter_Test2,Speed_Compact_Winter_Test3,Speed_Compact_Winter_Test4,Speed_Compact_Winter_Test5,Speed_Compact_AllSeason_Test1,Speed_Compact_AllSeason_Test2,Speed_Compact_AllSeason_Test3,Speed_Compact_AllSeason_Test4,Speed_Compact_AllSeason_Test5,Speed_Compact_Summer_Test1,Speed_Compact_Summer_Test2,Speed_Compact_Summer_Test3,Speed_Compact_Summer_Test4,Speed_Compact_Summer_Test5,Speed_MidSize_Winter_Test1,Speed_MidSize_Winter_Test2,Speed_MidSize_Winter_Test3,Speed_MidSize_Winter_Test4,Speed_MidSize_Winter_Test5,Speed_MidSize_AllSeason_Test1,Speed_MidSize_AllSeason_Test2,Speed_MidSize_AllSeason_Test3,Speed_MidSize_AllSeason_Test4,Speed_MidSize_AllSeason_Test5,Speed_MidSize_Summer_Test1,Speed_MidSize_Summer_Test2,Speed_MidSize_Summer_Test3,Speed_MidSize_Summer_Test4,Speed_MidSize_Summer_Test5,Speed_FullSize_Winter_Test1,Speed_FullSize_Winter_Test2,Speed_FullSize_Winter_Test3,Speed_FullSize_Winter_Test4,Speed_FullSize_Winter_Test5,Speed_FullSize_AllSeason_Test1,Speed_FullSize_AllSeason_Test2,Speed_FullSize_AllSeason_Test3,Speed_FullSize_AllSeason_Test4,Speed_FullSize_AllSeason_Test5,Speed_FullSize_Summer_Test1,Speed_FullSize_Summer_Test2,Speed_FullSize_Summer_Test3,Speed_FullSize_Summer_Test4,Speed_FullSize_Summer_Test5
0.15,-0.751,-0.39,1.013,0.562,1.343,-0.05,0.09,-0.782,0.17,-0.898,0.662,0.53,-0.589,0.443,-0.315,0.356,-1.007,-0.689,-0.85,1.039,0.356,-1.04,-0.15,-0.342,-0.043,NaN,-0.234,-0.349,-0.139,-0.125,-1.449,-0.412,-1.191,0.091,0.124,0.419,0.295,0.227,-0.062,0.305,0.253,0.629,-0.054,0.563,-0.514
0.16,0.869,0.724,NaN,-0.299,0.295,-0.328,0.382,0.113,0.529,-0.029,-0.242,0.283,-1.049,-0.833,-0.242,0.586,0.135,0.004,-0.841,-0.674,-1.046,1.204,0.705,0.031,-0.12,0.582,-0.509,-0.521,-1.058,0.684,1.08,0.493,-0.575,-1.401,1.135,-0.102,0.497,0.103,0.821,0.252,-0.244,-0.669,-0.932,0.173,-0.916
0.17,-0.489,0.016,0.158,-0.816,0.195,-0.945,0.012,0.468,0.463,-0.092,-0.75,0.425,-0.094,0.53,-0.377,-1.78,0.586,-0.28,0.682,0.555,-0.049,-0.65,0.408,0.429,-0.096,-0.091,0.654,0.775,-0.261,-0.846,-0.159,-0.013,-0.321,-0.051,-0.828,0.303,-0.175,0.156,-0.281,-0.792,-0.646,0.539,-0.325,0.187,0.124
0.18,-0.6,0.106,0.315,-0.039,0.257,-0.03,-0.85,0.534,0.019,-0.216,-1.146,-0.391,-0.846,-0.65,-0.714,-0.012,-0.176,0.452,-0.409,0.32,0.559,-0.209,0.223,0.791,0.015,1.031,-1.096,-0.745,0.208,0.149,0.161,0.307,-0.608,0.756,0.035,-1.239,-0.216,0.491,-0.65,0.108,-0.357,-0.474,-1.061,-0.607,0.332
0.19,NaN,-0.025,0.825,NaN,0.011,-0.815,-0.118,-0.179,-0.098,0.383,-1.059,-0.353,-0.762,0.602,0.014,-1.089,-0.794,0.085,NaN,-0.462,-0.27,0.612,0.068,0.97,-0.102,0.362,-0.083,0.908,0.212,0.126,-0.233,-1.227,1.275,-1.084,1.203,1.017,-0.342,-0.716,0.503,-0.985,-0.168,0.692,0.011,0.79,-0.326
0.2,-0.032,0.425,NaN,-0.255,-0.015,-1.274,-0.01,-0.799,-0.481,-0.297,0.273,0.028,-0.142,0.906,0.156,0.292,-0.693,0.027,0.815,0.47,0.276,0.639,-0.524,-0.489,-0.329,-1.128,0.513,-1.419,0.226,0.918,0.884,0.06,-0.328,0.631,-0.124,0.696,-0.895,0.308,0.462,1.52,0.385,-1.162,-0.802,-0.008,1.084
0.21,-0.337,1.19,0.064,-1.03,-0.043,-0.206,-0.082,-0.704,-0.625,-0.634,0.293,0.189,-0.426,-0.011,0.489,0.097,0.158,0.3,-0.565,0.152,0.112,-0.172,-1.012,-0.257,0.336,-0.075,-0.314,-0.335,0.506,-0.706,-0.568,0.734,-0.244,0.737,0.235,-0.417,0.389,1.186,-0.109,1,0.252,-0.546,-0.083,0.171,0.029
0.22,0.035,-0.937,0.624,0.584,-0.501,0.401,-0.347,0.058,-0.891,-1.254,-1.202,-1.154,-0.913,-0.285,0.379,-0.266,-1.705,-0.086,0.179,-0.451,-1.023,-0.743,-0.031,0.555,-1.387,0.179,-1.232,0.547,0.175,-0.77,0.299,-0.815,-0.996,0.274,0.552,-0.369,-0.086,-1.147,-0.592,-0.511,0.652,0.77,0.258,0.36,-0.003
0.23,-0.908,-0.716,0.125,0.649,-0.065,0.036,1.118,0.278,-0.54,-0.308,0.138,-0.356,0.31,-0.612,-0.047,-0.624,-0.25,-0.089,NaN,0.213,-0.929,-0.635,-0.454,0.237,-0.703,-0.186,-0.293,0.367,0.625,0.049,0.591,0.464,-0.09,-0.694,-0.411,-0.289,-0.457,-1.32,0.331,-0.139,0.016,0.535,-0.03,-0.712,-0.646
0.24,0.732,0.59,0.755,0.621,-0.668,-0.2,-0.089,-0.083,-0.531,-1.285,0.334,0.448,0.246,NaN,0.307,0.685,0.721,0.078,0.554,-0.18,0.321,0.396,0.441,-0.433,0.513,-0.913,0.51,0.141,0.167,0.486,-0.521,0.138,0.065,-0.969,0.51,-0.323,NaN,-0.559,0.113,-0.254,-0.103,0.602,-0.608,0.241,0.634
0.25,-0.112,0.633,-0.327,-0.446,0.219,0.884,0.32,NaN,0.12,-0.526,0.969,-0.477,-0.509,-0.169,-0.122,-1.288,-0.792,-0.554,0.615,-1.073,-0.574,-0.121,0.139,-0.091,0.19,0.041,0.895,-0.545,1.056,-1.236,1.156,-0.162,-0.284,0.51,0.36,0.107,-0.114,0.04,0.296,0.278,0.785,-0.464,-0.337,0.308,-0.718
0.26,-0.087,-0.87,-1.065,-1.222,-0.319,-0.661,0.361,-0.06,0.298,0.476,0.133,-0.598,-0.986,NaN,0.307,0.075,0.767,-0.01,-0.455,-0.215,-0.434,1.048,0.527,0.359,0.826,-1.209,-0.741,-0.058,-1.189,-0.108,NaN,0.33,0.763,-0.558,0.57,0.356,-0.185,0.245,-1.641,-0.677,0.026,-0.387,-0.7,0.301,0.471
0.27,0.719,-1.504,0.29,-0.019,0.809,NaN,-0.16,0.162,-0.571,-0.21,0.02,-1.529,0.889,-0.681,0.016,0.152,0.292,-0.964,-0.89,-0.051,-0.463,-0.438,0.217,0.32,-1.109,-1.272,-0.448,-0.708,0.206,0.231,-1.132,-0.816,0.502,-0.794,-0.193,0.297,-0.56,-1.26,-0.546,0.58,-0.374,0.069,0.232,0.152,1.016
0.28,-0.519,-1.137,0.447,-0.534,-0.194,0.741,-0.157,0.452,0.13,0.493,0.097,0.736,0.235,-0.649,0.419,0.767,-0.334,0.694,-0.784,0.106,0.233,0.676,0.056,0.317,-1.267,1.197,0.842,0.359,0.048,-0.663,0.037,-0.353,0.569,-1.265,-0.514,-0.165,-1.138,-0.351,-0.123,-0.559,0.348,-0.11,-0.412,0.317,0.027
0.29,0.949,-0.806,0.154,0.66,0.593,-0.233,-0.72,0.486,0.464,0.474,0.136,-0.068,0.18,-1.015,NaN,-0.245,-0.244,0.241,-0.042,0.424,0.159,-0.871,0.305,-0.653,-0.36,-0.265,0.406,-0.087,0.305,0.273,-1.199,0.19,0.351,-0.316,-0.09,0.593,0.388,-0.524,-1.122,-0.496,-0.342,0.364,0.136,-0.186,0.02
0.3,-0.677,-0.928,-0.742,-0.632,-0.331,-0.494,0.005,-0.763,1.074,-0.283,0.315,-0.134,0.379,1.38,0.05,-0.609,0.537,0.283,0.573,-0.152,0.35,-0.553,0.456,-0.719,-1.155,-0.606,0.943,-0.44,0.272,-0.266,0.841,-0.609,-0.465,-0.112,0.253,-0.772,-0.843,-0.717,-0.34,-0.284,-1.202,0.629,-0.037,0.236,-0.972
0.31,0.57,-0.958,0.778,0.251,0.044,-0.212,-1.051,0.025,0.068,0.623,0.507,-0.041,0.106,-0.034,0.327,-0.645,-0.924,-0.307,0.506,-0.835,0.461,0.047,0.959,0.02,-0.99,-1.141,-0.2,NaN,0.184,0.034,-0.303,0.278,0.613,0.332,-0.266,-0.012,-0.13,-1.256,0.291,-0.244,-0.836,-0.278,-0.54,NaN,-0.534
0.32,-0.129,-0.451,0.128,-0.539,-0.338,0.105,-0.421,-0.061,-0.365,0.567,0.422,0.283,0.468,-1.242,-1.066,-0.31,-1.61,0.492,-0.246,0.888,-0.01,0.25,-0.702,0.017,-0.862,0.257,-1.172,-0.863,0.459,0.27,0.197,-1.003,0.286,0.618,-0.372,0.393,0.805,0.123,0.352,0.012,-0.674,1.143,-0.449,0.607,-0.539
0.33,0.309,-0.793,0.979,-0.68,-0.005,-0.995,0.213,-0.466,-1.241,-0.221,-0.425,0.428,0.213,-0.047,NaN,-0.91,0.705,-0.432,0.243,0.646,-0.708,0.398,0.259,-0.11,-0.105,0.434,-0.969,0.104,0.323,0.679,-0.171,0.311,-0.274,0.311,0.066,-0.48,-0.255,0.936,0.475,-0.479,-0.439,0.598,-0.073,0.385,0.569
0.34,-1.089,-1.209,0.501,0.857,-1.436,NaN,0.491,0.406,0.244,-0.236,-0.123,-1.085,-0.018,0.011,0.221,-0.183,-0.416,-0.144,0.116,0.012,-0.544,-0.906,-1.271,NaN,0.347,-0.165,-0.393,-0.121,0.499,-0.237,-0.359,NaN,0.749,0.483,0.398,-0.161,NaN,0.133,0.32,-0.018,-1.153,0.253,1.005,-0.114,-0.662
0.35,-0.917,0.31,-0.217,1.32,-0.945,0.052,0.059,-1.064,0.497,0.137,1.055,-0.267,-0.483,0.076,0.528,-1.109,0.386,0.422,-0.091,0.838,0.378,0.885,0.029,0.519,-0.036,0.16,-0.571,NaN,-0.402,-0.45,-0.635,-1.424,0.092,-0.195,-1.011,-0.612,-0.049,0.133,0.553,-0.209,0.459,-0.614,0.3,-0.186,-0.577
0.36,-0.495,0.14,0.784,-1.238,-0.263,-0.239,0.286,0.075,0.002,0.678,0.525,0.581,-0.772,-1.385,-0.884,0.034,0.215,-0.324,1.143,0.277,0.644,0.004,-0.533,-0.016,-0.119,-0.042,0.047,0.224,0.545,0.819,-0.889,0.372,-0.099,-0.764,-0.628,-0.853,0.708,-0.077,0.367,0.116,-0.724,-0.426,-0.023,-1.188,-0.057
0.37,0.465,0.034,0.314,-1.354,0.399,-0.142,-0.571,-0.126,0.128,0.07,-0.676,-0.045,-1.627,0.282,-0.251,0.288,0.035,0.47,-0.23,0.221,-0.144,-1.18,0.337,-1.347,0.052,-0.107,-0.87,0.489,0.319,-0.218,-0.072,NaN,-0.196,0.239,-0.1,0.891,0.509,0.555,0.338,0.09,-0.435,0.298,-0.504,-0.383,0.225
0.38,-0.674,-0.173,-0.201,-0.972,-0.074,0.331,-0.919,0.072,-0.684,-0.304,-0.227,-0.22,-0.161,0.21,-0.447,-0.202,0.524,-0.382,0.61,0.406,-1.179,0.333,0.882,0.923,NaN,0.217,0.444,-0.235,-0.358,0.535,-0.585,NaN,-1.204,0.231,0.095,-0.386,0.114,0.789,0.588,-0.026,1.205,-1.005,0.179,0.02,0.438
0.39,-0.474,1.326,-0.385,0.749,0.682,0.852,0.439,0.345,-1.745,0.236,0.212,-0.178,-0.463,0.156,-0.071,-0.772,0.571,-0.446,-0.289,-0.897,-0.229,-0.241,-0.254,0.271,NaN,0.264,0.038,-0.845,-0.791,0.352,0.474,0.282,0.044,-0.419,0.23,-0.64,0.062,0.157,0.401,-0.175,-0.149,-0.473,0.025,NaN,0.687
0.4,-0.78,-0.242,0.91,-1.153,-0.823,-1.089,-0.42,0.418,0.769,0.53,-0.342,-0.747,-0.564,-0.211,0.962,0.367,0.396,0.015,-1.027,0.589,-1.61,0.825,0.093,-0.037,0.133,NaN,1.413,-0.185,-0.23,0.608,0.246,-1.154,0.29,-0.869,0.299,0.728,-0.117,0.095,0.137,-0.003,0.3,0.656,-0.243,0.2,-0.696
0.41,0.514,0.539,0.339,0.115,-1.297,NaN,-0.46,0.579,0.392,0.497,-0.066,0.135,-1.213,0.247,-0.685,0.236,0.962,0.596,0.096,-0.34,0.437,-0.395,0.002,-1.649,-0.207,-0.554,0.592,0.306,NaN,0.511,0.668,-1.04,0.094,0.641,-0.198,-1.027,-0.968,0.447,-0.163,-0.978,-0.153,-0.972,-0.177,0.255,1.071
0.42,-1.06,-0.206,0.811,0.199,0.141,0.207,0.396,-1.19,0.767,0.622,-0.067,-0.287,-0.329,-0.062,0.751,0.478,-0.927,-0.005,-0.267,0.379,-0.579,0.757,-1.294,-0.002,-0.378,0.582,-0.019,0.074,0.094,0.163,0.138,0.792,0.366,-1.688,0.198,0.452,-0.237,-0.176,0.614,0.071,0.101,0.061,0.217,-0.815,-0.902
0.43,-0.102,0.37,-0.078,0.538,0.608,0.594,-0.93,-0.359,0.892,-0.557,-0.334,0.235,-0.406,-0.563,-0.83,0.196,-1.202,0.222,0.099,-0.383,-0.92,-0.182,1.102,0.632,0.181,-0.971,-0.572,-1.075,-0.551,0.29,-0.072,-0.505,-0.462,-1.265,-0.064,0.32,1.201,-0.791,0.167,0.694,-0.602,-0.793,-0.244,0.074,0.907
0.44,0.56,-0.499,0.48,0.189,-0.207,0.578,0.047,0.077,-0.116,0.741,-1.099,0.376,0.278,0.603,0.31,0.304,-0.732,-0.705,0.625,0.653,0.196,-1.255,0.444,-1.752,-0.205,NaN,-0.21,-0.372,-0.106,0.19,0.1,-0.717,0.241,-0.079,1.087,-0.213,-0.375,0.148,-1.313,0.439,-0.48,-0.316,-0.646,-0.396,-0.342
0.45,-0.132,0.097,-0.531,0.724,0.237,-0.492,-0.286,0.513,-0.607,-0.602,0.196,-0.217,-1.253,-0.388,0.827,-0.002,-0.924,-0.287,0.941,0.217,-0.72,-0.178,-0.587,-0.962,1.284,-0.269,-0.385,-0.295,0.369,-0.66,-0.316,-0.042,-0.006,-0.419,0.283,-0.555,-0.228,-1.068,0.715,0.294,0.245,-0.325,NaN,-0.258,0.801
0.46,-0.056,-0.211,0.447,-0.011,-0.051,0.252,0.284,0.184,0.209,0.062,0.948,0.006,0.655,-0.009,0.304,0.007,0.12,-0.751,0.273,-0.477,0.894,1.221,0.048,-0.091,NaN,1.168,-1.284,-0.089,-0.078,-0.592,0.092,0.158,0.081,0.37,0.277,-0.776,-0.649,-0.961,0.425,0.479,-0.544,-0.356,0.553,0.263,-0.263
0.47,NaN,-0.702,-1.092,-0.681,-0.34,0.23,0.889,-0.635,0.479,-1.361,-1.073,-0.302,0.811,-0.08,0.079,0.576,-0.665,-0.099,-0.336,-0.332,0.099,-0.369,0.544,0.005,0.958,-1.032,0.215,0.384,0.157,0.512,-0.225,0.328,1.064,-0.513,-0.036,0.232,-0.043,-0.377,0.259,0.541,0.222,0.346,-0.292,0.148,-1.1
0.48,NaN,-0.426,-0.642,-0.194,-0.207,0.203,-0.107,-0.627,0.163,-1.126,0.457,-0.44,0.431,-0.127,-0.061,1.046,0.062,-0.752,-1.311,0.223,0.861,0.075,-0.346,-0.514,-0.3,0.016,0.39,0.386,0.252,0.815,-0.08,-0.594,-0.025,0.898,-0.753,-1.487,1,0.567,0.283,0.169,0.001,0.482,-0.317,-1.18,0.733
0.49,-0.23,-1.111,0.094,-0.163,0.413,0.813,0.564,0.092,-0.504,-0.809,0.073,-0.808,-0.726,-0.35,0.948,-0.721,-0.794,-0.039,-1.405,-0.463,-0.338,0.371,0.217,0.479,-0.559,0.662,0.898,-0.07,0.064,1.166,-0.292,0.829,0.204,-0.075,-0.4,0.387,-0.551,0.026,-0.422,-0.002,0.215,0.264,-1.547,-1.01,-0.454
0.5,0.406,-0.232,-0.857,0.498,0.196,0.638,0.81,-0.105,-1.121,-0.753,0.714,1.362,0.745,0.663,0.188,-0.653,0.384,0.478,-0.06,-1.056,0.046,NaN,-0.063,-0.765,-0.236,0.325,-0.285,-0.375,-0.824,0.253,0.938,-1.025,-0.636,NaN,-0.092,-0.324,NaN,-0.404,0.286,0.102,-0.652,-0.517,0.906,-0.422,0.107
0.51,-0.799,0.723,0.188,0.019,-0.613,-0.509,0.156,0.097,-1.116,-0.489,-0.257,-0.281,-0.33,-0.156,-0.707,-0.793,-0.276,-0.121,0.208,0.133,-0.56,-0.114,0.934,0.346,0.913,-0.827,-1.396,-0.362,-0.107,0.18,0.821,-0.076,0.088,-0.318,0.261,-0.929,0.075,0.406,0.335,0.777,0.047,0.421,-0.039,0.03,-0.714
0.52,1.049,1.254,0.033,0.343,0.278,-0.386,0.253,-0.023,0.635,-0.001,0.642,-0.285,0.809,-0.967,0.107,-0.192,0.813,0.089,NaN,0.199,0.714,-0.574,-0.413,-0.706,-1.448,-0.59,0.435,0.413,0.132,-0.304,0.611,0.257,0.319,0.257,-1.275,0.614,-0.607,-0.275,0.128,-0.644,-1.332,0.216,0.221,0.028,-0.15
0.53,0.55,0.031,NaN,-0.979,-0.05,0.059,0.683,0.559,-0.498,0.387,0.994,-0.616,1.124,-1.029,0.559,-1.243,-1.138,0.444,-1.011,0.001,-0.211,-0.328,-0.277,-1.479,-0.049,-0.314,-0.093,-0.376,-0.019,0.899,-0.308,-0.16,-0.29,0.771,0.902,0.043,-0.748,0.099,-0.338,0.493,-1.135,0.837,-0.569,-0.566,0.538
0.54,-0.637,-1.019,0.059,0.943,0.289,0.675,-0.029,-0.325,-0.065,-0.715,-0.4,0.118,0.066,0.016,-1.009,0.103,0.194,-0.541,0.407,-0.445,-0.638,-0.486,0.233,-0.14,0.829,-1.046,-1.327,0.12,-1.155,-0.382,0.205,-0.004,-0.385,0.421,0.478,-0.318,-1.153,0.869,-0.222,0.467,0.12,-0.019,-0.657,0.244,0.168
0.55,NaN,0.658,0.356,-1.261,-0.164,-0.663,-0.624,0.218,-0.947,0.429,-0.031,-0.042,-0.915,-0.999,0.443,0.281,0.399,0.106,-1.474,-0.242,-0.52,0.32,-0.789,-1.177,0.417,-0.765,0.054,-0.236,0.569,-0.083,-0.598,0.215,1.088,0.727,-0.591,-0.943,0.967,0.123,-0.026,-0.969,0.325,-0.132,-0.016,0.066,-0.541
0.56,-0.369,1.059,0.283,0.522,-0.26,-0.19,-1.02,-0.127,-0.13,1.012,-0.678,0.351,0.538,-0.285,-0.103,-0.29,-1.749,0.634,0.614,-0.139,0.206,0.359,-1.222,-1.748,-0.504,-0.542,0.541,-0.265,-0.293,-0.596,0.54,-0.572,-0.557,-1.013,NaN,0.465,-0.259,0.056,0.514,-0.304,-0.682,0.329,-0.239,-0.738,-0.352
0.57,0.172,0.551,0.198,0.302,-0.2,0.386,0.074,1.201,-0.174,-0.458,-0.095,0.492,-0.08,0.142,-1.193,0.006,-0.91,0.83,0.492,0.103,-1.09,-1.033,0.627,0.264,-0.146,-1.301,-0.132,-0.039,0.345,-0.473,0.133,0.047,0.402,0.123,-0.364,-0.214,0.323,0.466,0.038,0.304,0.117,0.979,0.596,0.19,-1.069
0.58,-0.338,-0.218,-0.088,-0.186,0.965,-0.189,1.455,0.408,-0.215,0.545,-1.296,-0.026,-0.398,-0.279,0.26,-0.218,-0.476,0.05,-0.288,0.956,0.104,-0.531,0.087,-0.769,-1.129,0.012,0,1.156,0.057,0.037,-1.064,-1.432,0.606,-1.271,0.246,0.431,-0.8,-0.871,-0.426,-0.125,0.638,0.043,0.74,0.242,0.213
0.59,-0.435,-1.027,-0.721,0.99,0.785,-0.971,0.043,-0.267,-0.565,-0.631,0.394,0.763,0.671,0.279,0.133,-0.593,-0.769,-0.727,0.281,0.594,-0.64,-0.774,0.295,-0.119,-0.612,-0.601,0.381,0.815,-0.162,0.296,0.082,0.488,-0.505,-0.082,-0.286,-0.655,0.583,-0.206,0.811,-0.285,1.216,0.351,-0.642,0.351,-0.755
